title,weight,price,image
Mango Sliced,250g,12.25,https://www.luluhypermarket.com/medias/392219-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wxNTg1MHxpbWFnZS9qcGVnfGltYWdlcy9oMjQvaDQ3LzkxNDgwNTEyOTIxOTAuanBnfGE0Zjg0OTQyODQ3ZTcyOGI4ZTM4NzE0NzYyZTQxY2UzMzQxNTIxMTM4ZTA4NWY3NWU5ZTE3NTQwNDQwZGViNTY
Farm Fresh Tomato,1kg,3.25,https://www.luluhypermarket.com/medias/649526-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wxMTY0MHxpbWFnZS9qcGVnfGltYWdlcy9oZDAvaGU1L2gwMC85MTk3NDM5NjgwNTQyLmpwZ3xkNTM0ZjRhNjQ2ZjFiYWIzZjY4NDlkNWNjMGNmMDM5Y2Y4NTQ0M2YzN2MzOTA3Njk1NmRmNWYxYjA5ZTU3N2Nj
Baby Spinach Leaves Italy,1pkt,10,https://www.luluhypermarket.com/medias/384429-00001.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wyNTk5NnxpbWFnZS9qcGVnfGltYWdlcy9oYzEvaDI5LzkwODQyODUzMjEyNDYuanBnfDc5ZjFhMWU1YTBjMzJlYjU5YjM5ODgyYzhkZjNiMGY1YzlhYmUwOTAxODQyNDVjNzlkODdhYTA5NmJhODNlMjQ
Watermelon Kiran India,1kg,10.5,https://www.luluhypermarket.com/medias/1411290-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wxNDEwNzd8aW1hZ2UvanBlZ3xoZTcvaDRmLzk2MjUxMzI1NjQ1MTAvMTQxMTI5MC0wMS5qcGdfMzAwV3gzMDBIfDQ0MzE1NWZkMjg4NzY5YmQ5YWUwMDE2Nzk1Mzk0MzJlN2Q3YWE2ZDQ5Yzc4YThlNmJmNWY5NDlhYTBjOTBlMmY
Broccoli Spain,500g,15.25,https://www.luluhypermarket.com/medias/1667742-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wxMTQxMHxpbWFnZS9qcGVnfGhjNy9oZTYvOTk1MjAzNzA3NzAyMi8xNjY3NzQyLTAxLmpwZ18zMDBXeDMwMEh8MTI1ZDA5Y2M0YjEzMTM4YTQzNjU2YjA3MTE4NGVhZTU5M2Y0ZTUyZGIzMTJiZWZhZTZkYzk3ZDJiYjAwYjFjMQ
Garlic China Big,Packet,7,https://www.luluhypermarket.com/medias/1498853-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wxMzU3MHxpbWFnZS9qcGVnfGg1YS9oYTAvOTY2ODM3MDE2OTg4Ni8xNDk4ODUzLTAxLmpwZ18zMDBXeDMwMEh8YzFmMmExOTdjNDIxOGU0NGY5NTc0NzRmNGExYjdhMDRjZjFmMjhjYmRkZjM0MDkyNzk0ZmE0MGQxZmUyNGE0ZQ
Farm Fresh Capsicum Yellow,500g,6.25,https://www.luluhypermarket.com/medias/649517-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wzODAxNnxpbWFnZS9qcGVnfGg0YS9oNGEvOTc4MDgyMDYwNzAwNi82NDk1MTctMDEuanBnXzMwMFd4MzAwSHw5NWE4MjBjZWU0ZTg4Njg1YjMwODU4YzI0Yjg5NDc1MDQzNGU2ODRlYWY5YWE4MzU0YmMxMWI2OTRmNTliYTlh
Mushroom Shimeji Thailand,1pkt,8.25,https://www.luluhypermarket.com/medias/601891-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3w3NTIxNHxpbWFnZS9qcGVnfGltYWdlcy9oMmYvaDBjLzkwNzExNTQ2MjY1OTAuanBnfDY5ZDcwYjMxOGM5ZWFmN2I5ZGNkNGMxMTMxN2FjOWQ5YzI2OGM3NTBkNWI2ODgxODc1Yjk2MjE1OTJmYzRhNjI
Grapes Black,500g,4.5,https://www.luluhypermarket.com/medias/18701-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wyNDk1NXxpbWFnZS9qcGVnfGltYWdlcy9oNTQvaDliLzkxNDc4MzIyNzA4NzguanBnfGIwODEwZTkwMjc4MjQyNDNiZDY4NzlkYmI5MzgzMGFjODMxZTcxMTdlNzU5MWYzYTMyNjA2YTc3YTQ4ZDMxMGU
Farm Fresh Cucumber,1kg,3.75,https://www.luluhypermarket.com/medias/649449-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3w0NzcwMHxpbWFnZS9qcGVnfGltYWdlcy9oZTUvaDQ0L2gwMC85MzUxMjQ4Njc0ODQ2LmpwZ3w1Y2E5NDUzZTVjNzM4ZGZkMzljNWRlZjEwNDdlNzhmOTVlYTU1ZmFhZmY5YjJjZWFlZTczMmU3Y2NjNWYyYzY5
Kenya Mangoes Round Kenya,1kg,8.75,https://www.luluhypermarket.com/medias/19016-001.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wxMDE4MHxpbWFnZS9qcGVnfGltYWdlcy9oZmUvaDk3LzkxNDc2MzU5MjUwMjIuanBnfGY0NzkyZTEwMDZlNWQyMmJkODhhODkxNTlmNjg5MDdiM2Q4NGIxMDExZWQxNTQxOWIzOGMxMmViY2RlOGJlNmI
Mandarin Turkey,1kg,4.5,https://www.luluhypermarket.com/medias/377400-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wzMDc2NHxpbWFnZS9qcGVnfGltYWdlcy9oZTMvaDgwLzkxNTY1MjQzNzYwOTQuanBnfDNlMjRmMmVjNGVkYjk5MDQxNTU1OThiMjQyZjFlYjQxY2NlZjFiNTU5NmEzZDVkMTNkMTg5OTE2ZjIyZWQyMjM
Beans Sprouts,1pkt,4.75,https://www.luluhypermarket.com/medias/42584-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3w1OTI0M3xpbWFnZS9qcGVnfGhjNy9oNGYvOTY2NjM4Mzc3MzcyNi80MjU4NC0wMS5qcGdfMzAwV3gzMDBIfGZhNWE3ZmMxM2FmZGE0ZTEwY2Y5MTkwYzEzNGM3OWZlYjQwZWIyMjk1ZTlmNDQ5MDRkMGVlODcyNWVmOGI4ZmI
Banana Pindi/Stem,500g,6,https://www.luluhypermarket.com/medias/481354-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMzQ1M3xpbWFnZS9qcGVnfGgzYS9oNzYvOTcyOTQ5MDY4MTg4Ni80ODEzNTQtMDEuanBnXzMwMFd4MzAwSHw1YjM3OWQ0ZmZlODVmOGZiMzc4NDg1Y2FjMTg3OGQ1NDNiNGYzM2FlNDhmY2ZlNTNlNjI1NDIzMzhiODdlY2Q1
Fresh Cut Honey Dew,250g,8.25,https://www.luluhypermarket.com/medias/1055562-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMTIwOHxpbWFnZS9qcGVnfGltYWdlcy9oZmMvaGUyLzkxNDgyMzA3OTUyOTQuanBnfDM2NTJhY2RlZTBjZDI4YTgwMWQxMTY1NDk3OTJlNWVkMzlhOTM0NjM5ODYxZmFhNmQ1NmRiNjQ1MWVkMTVkNGM
