description,price,details,rating,rate_by,image
SAMSUNG Chromebook 4 11.6 inch Intel Celeron Processor N4000 4GB RAM 32GB eMMC Intel UHD Graphics 600 - XE310XBA-K01US (Google Classroom Ready),$199.00,2-day deliveryon orders $35+Free pickup today,4.3,472 people,https://i5.walmartimages.com/asr/b62d59a5-d7c6-4e36-ba8f-774f0cbc5466_9.79edcdbc05fdea8fc2e56824f61a17c8.jpeg
SAMSUNG Chromebook 4+ 15.6 inch Intel Celeron Processor N4000 4GB RAM 32GB eMMC Intel UHD Graphics 600 - XE350XBA-K01US,$277.73,Free delivery,4.4,58 people,https://i5.walmartimages.com/asr/57928dd4-4b20-457a-b811-953891260594.5eb18f908357792836607002dc790e34.jpeg
"Lenovo IdeaPad 3 15.6 inch Laptop, Intel Core i3-1005G1 Dual-Core Processor, 4GB Memory ,128GB Solid State Drive, Windows 10S - Almond - 81WE0016US",$349.00,2-day deliveryon orders $35+Free pickup today,4.6,6128 people,https://i5.walmartimages.com/asr/9f1fa491-066d-4422-b797-8e012096a3bc_2.75154aa7f4cb50b76268ea8b998853ab.jpeg
Apple MacBook Air 13.3 Inch Laptop MD760LL/A (Certified Refurbished),$580.00,Sold & shipped by Total TechnologyFree delivery,4.2,6 people,https://i5.walmartimages.com/asr/c93655ed-28e5-4a98-b5f6-de11ae03e779_1.95ad261f6209f5e61d39a2a1fca32184.jpeg
"Lenovo IdeaPad 1 14.0 inch Laptop, Intel Pentium Silver N5030 Quad-Core Processor, 4GB Memory, 128GB Solid State Drive, Windows 10S - Ice Blue - 81VU000JUS",$296.97,Pro sellerSold & shipped by Royal Tech PlusFree delivery,4.4,333 people,https://i5.walmartimages.com/asr/8a5a782a-c543-43cc-a25a-922a27296b36_1.4da84e6f394447cd611ffdc1995e5681.jpeg
"Refurbished Apple A Grade Macbook Pro, 13.3-inch Laptop (Retina), 2.7Ghz Dual Core i5 (Early 2015) MF839LL/A 256 GB SSD, 8 GB Memory, 2560x1600 Display, Mac OS X v10.12, Sierra Power Adapter",$544.00,Pro sellerSold & shipped by Wombat ReserveFree delivery,3.8,12 people,https://i5.walmartimages.com/asr/0d9a386d-2c7b-4555-ad21-f332aeb5cec7_1.86e7e79f44503e7c602d28ca5b0d10e1.jpeg
"Gateway 14.1 inch FHD Ultra Slim Notebook, Intel Celeron, 4GB RAM, 64GB Storage, Tuned by THX Display & Audio, Mini HDMI, Webcam, Windows 10 S, Microsoft 365 Personal 1-Year Included",$189.00,2-day deliveryon orders $35+,3.9,237 people,https://i5.walmartimages.com/asr/ca29ddf0-580e-45ed-a6d5-835ec3bf51ed.0c6552c329bdb7b819f7473770fa5e0c.jpeg
HP 15.6 inch Ryzen 5 8GB/256GB Laptop-Rose Gold,$449.00,2-day deliveryon orders $35+Free pickup today,4.4,233 people,https://i5.walmartimages.com/asr/36809cf3-480b-47a5-94f0-e1d5e70c58c0_3.fcc0d6494b0e279a13c32c80c28abfa3.jpeg
"Lenovo IdeaPad Flex 5 14 inch FHD Convertible, AMD Ryzen 3 4300U, 4GB RAM, 128GB SSD, Graphite Grey, Windows 10S, 81X2000HUS",$369.00,Free delivery,4.4,372 people,https://i5.walmartimages.com/asr/b163a876-4363-4ab6-890b-ec414a0c9731.d44b2d14ef8e3caa038fd7b1b7caacd0.jpeg
"HP 14 14 inch Micro-Edge Laptop Computer, AMD Ryzen 3 3200U up to 3.5GHz (Beats i5-7200U), 4GB DDR4 RAM, 256GB SSD, 802.11AC WiFi, Bluetooth 4.2, Windows 10, 64GB Flash Drive",$299.00,2-day deliveryon orders $35+,4.1,231 people,https://i5.walmartimages.com/asr/b3ef9758-c8c0-458e-b94f-731fc6339303_1.941c839ba2a828bba76f78ae22f8f2b5.jpeg
